ID2,title,description,streetaddress,city,state,amenityfeatures,type,unclear_address,unclear type or question,notes,Year,Last Modified
1,Greyhound Bus Depot,,,Anniston,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 12:43pm
2,Noble St. ,betw. 8th & 16th,,Anniston,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 12:43pm
3,Penny's ,T-Room-Quintard,,Anniston,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 12:43pm
4,Gay Awareness ,,"P.O. Box 821, Auburn 36830",Auburn,AL,,Organization,checked,,,1986,6/7/2022 12:29pm
5,Harry's Bar,(Best late),1106 Opelika Hwy.,Auburn,AL,"(M),(PT),(AYOR)",Bars/Clubs,,,,1986,1/25/2022 12:46pm
6,Haley Center,"(4th floor T-Room), Library & Sanford Park nr. Langton Hall (Auburn Univ.)",,Auburn,AL,Cruisy Area,Cruising Areas,checked,,,1986,6/7/2022 2:12pm
7,Alabama Adult Books ,,901 5th Ave. N.,Birmingham,AL,,"Book Store,Erotic Shop",,,,1986,1/25/2022 12:51pm
8,Alabama Forum,(Publication) ,"Box 55913, Birm. 35255",Birmingham,AL,,Publication,checked,,,1986,6/13/2022 9:34am
9,Basics ,(Some L) (AH-WE*) (Cl. Mon-Tue) ,912 N. 19th St.,Birmingham,AL,"(P),(L),(AH),(WE),(*)",Bars/Clubs,,,,1986,6/7/2022 2:23pm
10,Bill's Club,(Many L) ,208 N. 23rd St.,Birmingham,AL,"(*),(L),(D),(S)",Bars/Clubs,,,,1986,1/25/2022 12:54pm
11,Bootsie's Bohemia,(Deli & Coffee House) ,2921 Highland,Birmingham,AL,,Restaurant,,,,1986,1/25/2022 12:54pm
12,Casbah,(Disco) ,117'/2 21st St. N.,Birmingham,AL,"(D),(M),(S),(*)",Bars/Clubs,,,,1986,1/25/2022 12:55pm
13,"Gay Center & S.E.C.L.G.M., Inc.",(205) 939-1543,,Birmingham,AL,,Community Center/ Support Group,checked,,,1986,1/25/2022 12:58pm
14,Gizmo,(WE-AH*) ,909 S. 22nd St.,Birmingham,AL,"(D),(WE),(AH),(*)",Bars/Clubs,,,,1986,6/7/2022 2:25pm
15,Hunt,(Disco) ,2130 Morris Ave.,Birmingham,AL,"(L),(D),(PT),(*)",Bars/Clubs,,,,1986,1/25/2022 1:00pm
16,Lodestar Books,(Some L) ,2020 11th Ave. S.,Birmingham,AL,(L),Book Store,,,,1986,1/25/2022 1:00pm
17,M.C.C.,,2024 8th Ct. S.,Birmingham,AL,(MCC),Religious Institution,,,,1986,6/7/2022 12:29pm
18,Pleasure Books,,7606 1st Ave. N.,Birmingham,AL,,"Book Store,Erotic Shop",,,,1986,1/25/2022 1:02pm
19,Pussycat Adult Books,,7610 1st Ave. N. ,Birmingham,AL,,"Book Store,Erotic Shop",,,,1986,1/25/2022 1:03pm
20,Quest ,"(Macho, SM) (Cruisy) ",416 24th St. South,Birmingham,AL,"(SM),(C&W),(*)","Bars/Clubs,Cruising Areas",,,,1986,6/7/2022 2:18pm
21,Steak 'n' Egg,,1717 10th Ave. S.,Birmingham,AL,"(M),(R),(C),(AH)",Restaurant,,,,1986,1/25/2022 1:04pm
22,5th Ave. N. ,at 20th St. nr. Bus Depot,,Birmingham,AL,"(AYOR),Cruisy Area",Cruising Areas,checked,,,1986,1/25/2022 1:13pm
23,Rushton Park,,,Birmingham,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 1:13pm
24,Western Super Market ,(Late Sat. nights),2230 Highland Ave.,Birmingham,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 1:13pm
25,Woodrom Wilson Park ,(AYOR-'Fuzz'),,Birmingham,AL,"(AYOR),Cruisy Area",Cruising Areas,checked,,,1986,1/25/2022 1:13pm
26,Waffle House,(Open 24 hrs.) ,Hwy. 31 S.,Decatur,AL,"(M),(R)",Restaurant,checked,,,1986,6/13/2022 9:34am
27,Amtrak & Greyhound Depots,,,Decatur,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 1:13pm
28,The 'Pumps' ,"Fishing area across bridge from
Old Hwy 31 N.",,Decatur,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 1:13pm
29,Loose Caboose,(Upstairs) (Looks Promising) ,126 E. Main St.,Dothan,AL,"(P),(YC),(D)",Bars/Clubs,,,,1986,1/25/2022 1:14pm
30,Electric Cowboy,,111 E. Limestone,Florence,AL,(R),Restaurant,,,,1986,1/25/2022 1:14pm
31,Bus Depot,,,Florence,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 1:18pm
32,J.C. Penney's ,Regency Square Mall,,Florence,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 1:18pm
33,Wilson Dam Overlook ,MacLaughlin Park,,Florence,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 1:18pm
34,Fat's Showroom & Warehouse,"(Some M, YC) (WE*) (S-WE)",315 S. 2nd St.,Gasden,AL,"(P),(M),(YC),(WE),(S),(*)",Bars/Clubs,,,,1986,6/7/2022 2:24pm
35,Atlantis ,(Disco) ,"2572 Sparkman Dr. near
Memorial Parkway",Huntsville,AL,"(YC),(D),(*)",Bars/Clubs,,,,1986,1/25/2022 1:20pm
36,Avenue 54 ,(Quiet lounge) The Mall,,Huntsville,AL,(S),Bars/Clubs,checked,,,1986,1/25/2022 1:22pm
37,Books As Seeds,(Bookstore) ,202 Andrew Jackson,Huntsville,AL,,Book Store,,,,1986,1/25/2022 1:22pm
38,Gay Helpline,(205) 539-3424,,Huntsville,AL,,Hotline,checked,,,1986,1/26/2022 6:17pm
39,Observation Point,(The Overlook) ,on Governors Dr.,Huntsville,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 1:25pm
40,The Mall,Upstairs T-Room (Days) ,,Huntsville,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 1:25pm
41,Pizitz Dept. Store ,Parkway City Mall,,Huntsville,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 1:25pm
42,Square ,(AYOR--'Fuzz'),at Franklin & Randolph,Huntsville,AL,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1986,6/7/2022 2:02pm
43,Jacksonville State U. ,"Bibb Graves Hall & Ayer Hall
2nd floor T-Rooms",,Jacksonville,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 1:26pm
44,Club Park Avenue,"(Video downstaris, Disco-D-upstairs) (Patio) (Looks hot)",7 S. Joachim,Mobile,AL,"(*),(YC),(P),(D)",Bars/Clubs,,,,1986,1/25/2022 1:30pm
45,Corral ,"(Some W, OC, L) (Cruisy) (Late*) ",54 S. Conception,Mobile,AL,"(W),(OC),(L),(*)","Bars/Clubs,Cruising Areas",,,,1986,6/7/2022 2:22pm
46,David's ,(Disco) (Some L) (WE*) ,1304 Spring Hill Ave.,Mobile,AL,"(PT),(D),(S),(L),(WE),(*)",Bars/Clubs,,,,1986,6/7/2022 2:24pm
47,French Quarter,(Disco) ,216 Conti St.,Mobile,AL,(D),Bars/Clubs,,,,1986,1/25/2022 1:45pm
48,Society Lounge ,"(L,B) ",53 Conception,Mobile,AL,,Bars/Clubs,,,,1986,1/25/2022 1:46pm
49,Bel Air Mall,SearsT-Room (AYOR),,Mobile,AL,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1986,1/25/2022 2:28pm
50,Bienville Square ,(AYOR at night) (Fuzz) (Many B) ,,Mobile,AL,"Cruisy Area,(AYOR),(B)",Cruising Areas,checked,,,1986,1/25/2022 2:28pm
51,MidTown Cinema,,,Mobile,AL,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1986,1/25/2022 2:28pm
52,Old State Park,opp. Holiday Inn—off causeway,,Mobile,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:28pm
53,Woolworth's ,'T-Room',,Mobile,AL,Cruisy Area,Cruising Areas,checked,,,1986,1/25/2022 2:28pm
54,B&R Club,(Also AH) ,211 Lee St.,Montgomery,AL,"(P),(D),(PT),(AH)",Bars/Clubs,,,,1986,1/25/2022 1:51pm
55,City Jail Pub,(Liquor) (AH*WE) ,207 Dexter Ave.,Montgomery,AL,"(P),(E),(AH),(WE),(*)",Bars/Clubs,,,,1986,6/7/2022 2:24pm
56,Gay Help Line & U.B.U. ,(9am-10pm) (205)264-7887,,Montgomery,AL,,Hotline,checked,,,1986,6/7/2022 2:20pm
57,M.C.C.,,"P.O. Box 603, Montgomery 36101",Montgomery,AL,,Religious Institution,checked,,,1986,6/13/2022 9:34am
58,Skeeters ,(Some L) (AH-Weekdays*) ,150 Lee St.,Montgomery,AL,"(D),(L),(AH),(*)",Bars/Clubs,,,,1986,6/7/2022 2:26pm
