ID2,title,streetaddress,description,city,state,amenityfeatures,Year,type,unclear_address,unclear type or question,notes,Last Modified
1,Lagarde Park,,,Anniston,AL,Cruisy Area,1990,Cruising Areas,checked,,,4/24/2023 12:35pm
2,Noble St. betw. 8th & 16th,,,Anniston,AL,Cruisy Area,1990,Cruising Areas,checked,,,4/24/2023 12:37pm
3,Haley Center Library & Sanford Park nr. Langton Hall (Auburn U),,,Auburn,AL,Cruisy Area,1990,Cruising Areas,checked,,,4/24/2023 12:37pm
4,Autaugaville Rec. Park,,,Autaugaville,AL,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,,4/24/2023 12:37pm
5,AA Gay/ Lesbian,516 27th St. S.,"933-8964/326-8600 meetings change weekly, call for info",Birmingham,AL,,1990,Info Lines & Services,,,(205) area code,4/24/2023 12:37pm
6,Club 21,117 1/2 21st St. N.,8pm to 4am Wed-Sun N.322-0469,Birmingham,AL,"(MX),(S),(D),(B)",1990,Bars,,,(205) area code,4/24/2023 12:37pm
7,Mabel's Beauty Shop & Chain Saw Repair ,318 14th St. S.,"24hrs, patio 254-9567-9 ",Birmingham,AL,"(*),(D),(CW)",1990,Bars,,,(205) area code,4/24/2023 12:37pm
8,Quest,416 24th St. S.,"251-4313 open 24hrs, patio",Birmingham,AL,"(D),(CW)",1990,Bars,,,(205) area code,4/24/2023 12:37pm
9,"Rage, The",620 29th St. S.,323-7243,Birmingham,AL,"(MX),(MW),(D),(YC),(PC)",1990,Bars,,,(205) area code,4/24/2023 12:37pm
10,Cafe Le Netta,2323 1st Ave. N.,"324-2333 cocktails, lunch & dinner only, open daily",Birmingham,AL,"(MX),(E)",1990,Restaurants & Cafes,,,(205) area code,4/24/2023 12:37pm
11,Steak'n Egg Kitchen ,1717 10th Ave. S.,933-9822,Birmingham,AL,"(MX),(MW),(AH)",1990,Restaurants & Cafes,,,(205) area code,4/24/2023 12:37pm
12,Lodestar Books,2020 11th Ave. S.,939-3356 gay/lesbian titles,Birmingham,AL,,1990,Book Stores/Retail Shops,,,(205) area code,4/24/2023 12:37pm
13,MCC,2630 6th Ave. S. ,326-8529 worship 11am Sun,Birmingham,AL,(MCC),1990,Religious Organizations,,,(205) area code,4/24/2023 12:37pm
14,Alabama Forum,"Box 55913, Birm. 35255",326-8600,Birmingham,AL,,1990,Publications,,,(205) area code,4/24/2023 12:37pm
15,Alabama Adult Books,901 5th Ave. N.,322-7323,Birmingham,AL,,1990,Erotica/Adult Groups,,,(205) area code,4/24/2023 12:37pm
16,Birmingham Adult Books,7610 1st Ave. N.,836-1580 open 24hrs,Birmingham,AL,,1990,Erotica/Adult Groups,,,(205) area code,4/24/2023 12:37pm
17,"Downtown Bookstore, The",2731 8th Ave. N.,,Birmingham,AL,,1990,Erotica/Adult Groups,,,(205) area code,4/24/2023 12:37pm
18,Jupiter Theater,2500 7th Ave. S.,large screen movies,Birmingham,AL,,1990,Erotica/Adult Groups,,,(205) area code,4/24/2023 12:37pm
19,Pleasure Books,7606 1st Ave. N.,"836-7379 24hrs Mon-Sat, noon-midnight Sun",Birmingham,AL,,1990,Erotica/Adult Groups,,,(205) area code,4/24/2023 12:37pm
20,Southside Adult Book Store,316 S. 14th St.,251-6625 open 24hrs,Birmingham,AL,,1990,Erotica/Adult Groups,,,(205) area code,4/24/2023 12:37pm
21,Top Hat Theater,9221 Todd Dr. ,films & videos,Birmingham,AL,,1990,Erotica/Adult Groups,,,(205) area code,4/24/2023 12:37pm
22,Rushton Park,,,Birmingham,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
23,'The Pumps',,,Decatur,AL,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
24,Amtrak & Greyhound Depots,,,Decatur,AL,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
25,Beltline Mall,,,Decatur,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
26,Delano Park nr. Picnic Tables,,,Decatur,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
27,Point Mallard Park-Swimmin' Hole,,(Summers),Decatur,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
28,St. Andrews Alley,134-A N. Foster St.,793-9418,Dothan,AL,"(*),(D),(S),(E)",1990,Bars,,,(205) area code,4/24/2023 12:37pm
29,Veterans Park,,(Days),Florence,AL,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
30,Wilson Park,,(Nights),Florence,AL,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
31,Head Quarters,217 S. 4th St.,547-9828,Gadsden,AL,(NH),1990,Bars,,,(205) area code,4/24/2023 12:37pm
32,Gay Helpline,,539-3424 24hrs and AIDS referral service,Huntsville,AL,,1990,Info Lines & Services,checked,,(205) area code,4/24/2023 12:37pm
33,Pink Triangle Alliance ,"P.O. Box 784, 35804",539-4235 resource & info line until 10pm,Huntsville,AL,,1990,Info Lines & Services,checked,,(205) area code,4/24/2023 12:37pm
34,Atlantis ,2572 Sparkman ,852-9990,Huntsville,AL,"(*),(MW),(D),(S),(B)",1990,Bars,,,(205) area code,4/24/2023 12:37pm
35,Vieux Carre,1204 Posey ,534-5970 7pm-2am,Huntsville,AL,"(MW),(D),(NH)",1990,Bars,,,(205) area code,4/24/2023 12:37pm
36,MCC,"P.O Box 10021, 35801",533-6220 worship 11am Sun,Huntsville,AL,(MCC),1990,Religious Organizations,checked,,(205) area code,4/24/2023 12:37pm
37,Observation Point,,On Governer Dr. (The Overlook),Huntsville,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
38,Germania Springs,,,Jacksonville,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
39,Jacksonville State U. ,,Bibb Graves Hall,Jacksonville,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
40,Jacksonville State U. ,,Ayer Hall 2nd floor,Jacksonville,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
41,Club Park Ave.,7 S. Joachim,433-9105 6am-4am,Mobile,AL,"(*),(MW),(V),(S),(E),(YC)",1990,Bars,,,(205) area code,4/24/2023 12:37pm
42,French Quarter,215 Conti St.,438-9139 cruisy,Mobile,AL,(D),1990,"Bars,Cruising Areas",,,(205) area code,4/24/2023 12:37pm
43,Golden Rod,219 Conti ,433-9175 7pm-?,Mobile,AL,"(MX),(MW),(PC)",1990,Bars,,,(205) area code,4/24/2023 12:37pm
44,Octagon Club,3211 Spring Hill Rd. ,473-8800,Mobile,AL,"(*),(MX),(MW),(V),(P),(YC),(S),(E)",1990,Bars,,,(205) area code,4/24/2023 12:37pm
45,Society Lounge,51 Conception ,"433-9141 7pm-? Mon-Sat, noon-? Sun",Mobile,AL,(S),1990,Bars,,,(205) area code,4/24/2023 12:37pm
46,MCC,,476-9142 group meets weekly,Mobile,AL,(MCC),1990,Religious Organizations,checked,,(205) area code,4/24/2023 12:37pm
47,Old State Park,,"(Opp, Holiday Inn- off causeway)",Mobile,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
48,Zippers ,207 Dexter Ave.,"263-7890 8pm-? Mon-Sat, 6pm-? Sun",Montgomery,AL,"(D),(S),(MW),(AH)",1990,Bars,,,(205) area code,4/24/2023 12:37pm
49,MCC,5290 Vaughn ,(Unitarian Church) 264-7887 worship 5:30pm Sun,Montgomery,AL,(MCC),1990,Religious Organizations,,,(205) area code,4/24/2023 12:37pm
