ID2,title,amenityfeatures,description,streetaddress,type,city,state,unclear_address,Year,unclear type or question,notes,Last Modified
1,Lagarde Park,Cruisy Area,,,Cruising Areas,Anniston,AL,checked,1992,,,8/30/2022 6:09pm
2,Noble St. btw 8th & 16th,Cruisy Area,,,Cruising Areas,Anniston,AL,checked,1992,,,8/30/2022 6:10pm
3,Haley Center Library & Sanford Park nr. Langton Hall (Auburn U) ,"Cruisy Area,(AYOR)",,,Cruising Areas,Auburn,AL,checked,1992,,,8/30/2022 6:13pm
4,Autaugaville Rec. Park,"Cruisy Area,(AYOR)",,,Cruising Areas,Autaugaville,AL,checked,1992,,,9/2/2022 6:37pm
5,AA Gay/Lesbian (at Lambda Resource Center) ,,"933-8964(AA#) 8pm Wed, 11am Sat, 6pm Sun",,Info Lines & Services,Birmingham,AL,checked,1992,,,8/30/2022 6:22pm
6,Barnes Memorial Library,,(at Lambda Resource Center) gay/lesbian library,,Info Lines & Services,Birmingham,AL,checked,1992,,,9/2/2022 3:03pm
7,Gay Information Line,,326-8600 6pm-10pm Mon-Sat,,Info Lines & Services,Birmingham,AL,checked,1992,,,9/2/2022 3:04pm
8,Lambda Resource Center,,"326-8600 7pm-10pm Thurs-Sat, drop-in coffeehouse, mtgs other nights",516 27th St.,Info Lines & Services,Birmingham,AL,,1992,,,9/2/2022 3:07pm
9,Club 21,"(MX),(S),(D),(B)",322-0469 9pm-4am Thurs-Sat,117 1/2 21st St. N.,Bars,Birmingham,AL,,1992,,,9/5/2022 3:03pm
10,Evnice Crabtree's/Mabel's,"(CW),(D),(PC),(S)",254-9400 noon-4am,3201 3rd Ave. S.,Bars,Birmingham,AL,,1992,,,9/5/2022 3:03pm
11,Gizmo Lounge,"(D),(S)","592-0702 24hrs, cruisy late at night",3719 3rd. Ave. S.,"Bars,Cruising Areas",Birmingham,AL,,1992,,,9/12/2022 1:20pm
12,Quest,(CW),"251-4313 open 24hrs, patio",416  24th St. S.,Bars,Birmingham,AL,,1992,,,9/5/2022 3:03pm
