ID2,title,streetaddress,description,city,state,amenityfeatures,type,unclear_address,unclear type or question,notes,Year,Last Modified
1,Lagarde Park,,,Anniston,AL,Cruisy Area,Cruisy Areas,checked,,,1993,9/13/2022 2:17am
2,Noble St. btwn. 8th & 16th,,,Anniston,AL,Cruisy Area,Cruisy Areas,checked,,,1993,9/13/2022 2:18am
3,Haley Center Library & Sandford Park nr. Langton,,,Auburn,AL,Cruisy Area,Cruisy Areas,checked,,,1993,9/13/2022 2:20am
4,Hall,,(Auburn U),Auburn,AL,Cruisy Area,Cruisy Areas,checked,,,1993,9/13/2022 2:20am
5,Autaugaville Rec. Park,,(AYOR),Autaugaville,AL,"Cruisy Area,(AYOR)",Cruisy Areas,checked,,,1993,9/13/2022 7:20pm
6,AA Gay/Lesbian,,"(at Lambda Resource Center) 933-8964 (AA#) 8pm Wed, 11am Sat, 6pm Sun",Birmingham,AL,,Info Lines & Services,checked,,,1993,9/13/2022 2:24am
7,Barnes Memorial Library,,(at Lambda Resource Center) gay/lesbian library,Birmingham,AL,,Info Lines & Services,checked,,,1993,9/13/2022 2:25am
8,Gay Information Line,,"326-8600, 6pm-10pm, from 1pm Sat & Sun",Birmingham,AL,,Info Lines & Services,checked,,,1993,9/13/2022 2:26am
9,Lambda Resource Center,516 27th St.,"326-8600, 7pm-10pm Th-Sat, drop-in coffeehouse, mtgs other nights",Birmingham,AL,,Info Lines & Services,,,,1993,9/13/2022 2:28am
10,Club 21,117 1/2 21st St.,322-0469 9pm-4am Th-Sat.,Birmingham,AL,"(MX),(S),(D),(B)",Bars,,,,1993,9/13/2022 2:30am
11,Eunice Crabtree's/Mabel's,3201 3rd Ave. S.,254-9400 noon-4am,Birmingham,AL,"(CW),(D),(PC),(S)",Bars,,,,1993,9/13/2022 2:32am
12,Gizmo Lounge,3719 3rd Ave. S.,24hrs,Birmingham,AL,"(D),(S)",Bars,,,,1993,9/13/2022 2:33am
13,Quest,416 24th St. S.,"351-4313 open 24hrs, patio",Birmingham,AL,(CW),Bars,,,,1993,9/13/2022 2:34am
14,"Rage, The",620 29th St. S.,"323-7243 3pm-?, two bars & patio",Birmingham,AL,"(YC),(PC),(E)",Bars,,,,1993,9/13/2022 2:35am
15,Steak 'n Egg Kitchen,1717 10th Ave. S.,933-9822 24hrs,Birmingham,AL,"(MX),(AH)",Restaurants & Cafes,,,,1993,9/13/2022 2:37am
16,Lodestar Books,2020 11th Ave. S.,"939-3356, 10am-6pm, 1pm-5pm Sun ",Birmingham,AL,,Bookstores/Retail Shops,,,,1993,9/13/2022 2:38am
17,Men's Night,,(at Lambda Resource Center) 2nd Mon 7pm,Birmingham,AL,,Men's Services,checked,,,1993,9/13/2022 2:39am
