ID2,title,amenityfeatures,description,streetaddress,type,city,state,unclear_address,unclear type or question,notes,Year,Last Modified
1,Lagarde Park ,Cruisy Area,,,Cruising Areas,Anniston,AL,checked,,,1996,1/26/2023 3:51pm
2,Noble St. ,Cruisy Area,btwn 8th & 16th ,,Cruising Areas,Anniston,AL,checked,,,1996,1/26/2023 3:51pm
3,The Ultra Box,"(GF),(D),(F),(WC)","826-3491 9pm-2am, clsd Mon",136 W. Magnolia Ave.,Bars,Auburn,AL,,,,1996,1/26/2023 3:53pm
4,Autaugaville Rec. Park ,(AYOR),,,Cruising Areas,Autaugaville,AL,checked,,,1996,1/26/2023 3:57pm
5,AA Gay/Lesbian ,,"(at Lambda Resource Center) 933-8964 (AA#) 8pm Wed, 11am Sat, 6pm Sun",,Info Lines & Services,Birmingham,AL,checked,,,1996,1/26/2023 4:01pm
6,Community Real Estate Referrals ,,"(800)-346-5592 gay realtor at your service, no rentals ",,Info Lines & Services,Birmingham,AL,checked,,,1996,1/26/2023 4:01pm
7,Lambda Resource Center,,"326-8600, 7pm-10pm, clsd Sun, library, drop-in coffeehouse, men's nights 2nd Mon 7pm",205 32nd St. S. ,Info Lines & Services,Birmingham,AL,,,,1996,1/26/2023 3:59pm
8,UAB Gay/Lesbian Student Union,,,"PO Box 34, Hill University Center, 35294",Info Lines & Services,Birmingham,AL,checked,,,1996,1/26/2023 4:01pm
9,22nd Street Jazz Café,"(GF),(F),(E),(S)","252-0407 clsd Sun-Tue, alternative night Wed",719 22nd St. S.,Bars,Birmingham,AL,,,,1996,1/26/2023 4:14pm
10,Bill's Club,"(W),(D),(E),(WC)","254-8634 6pm-4am, from 5pm Sun, clsd Mon",208 N. 23rd St.,Bars,Birmingham,AL,,,,1996,1/26/2023 4:15pm
11,Buchanan's ,"(*),(MW),(NH),(D),(WC)","328-4337 4pm-2am, til 4am Fri-Sat",414 21st St. S.,Bars,Birmingham,AL,,,,1996,1/26/2023 4:16pm
12,Club 21,"(GF),(D),(MRC-AF),(S)",322-0469 9pm-4am Th-Sat,117-1/2 21st St. N.,Bars,Birmingham,AL,,,,1996,1/26/2023 4:17pm
13,Quest,(M),"251-4313 24hrs, Dj Th-Sun, patio",416 24th St. S.,Bars,Birmingham,AL,,,,1996,1/26/2023 4:17pm
