"","ID","title","description","streetaddress","type","amenityfeatures","city","state","Year","lat","lon","categories","cruisy"
"1","3213","'B.A.'","(woods & ponds)","","Cruising Areas","Cruisy Area","Lake Placid","NY",1982,44.279491,-73.979871,"Cruising Areas","TRUE"
"2","2265","'B.A.' Beach","2 mi. E.","Rte. 2","Cruising Areas","Cruisy Area","Troy","NY",1981,42.728412,-73.691785,"Cruising Areas","TRUE"
"5","3508","'B.A.' Beach","(2 mi. E. on Rte. 2)","","Cruising Areas","Cruisy Area","Troy","NY",1982,42.728412,-73.691785,"Cruising Areas","TRUE"
"8","3810","'B.A.' Beach","2 mi. E.","Rte. 2","Cruising Areas","Cruisy Area","Troy","NY",1983,42.728412,-73.691785,"Cruising Areas","TRUE"
"11","3842","'B.A.' Beach","2 mi. E. on Rte. 2","","Cruising Areas","Cruisy Area","Troy","NY",1984,42.728412,-73.691785,"Cruising Areas","TRUE"
"29","4077","'BA' beach","2 mi. E. of Rt. 2","","Cruising Areas","Cruisy Area","Troy","NY",1985,42.728412,-73.691785,"Cruising Areas","TRUE"
"40","3473","'bushes'","anywhere and everypleace from the time you get on the ferry, but especially the W. end of tyhe boardwalk at The Pines, and the 'Meat Rack' & 'bushes' betw. Cherry Grove & The Pines. Seasonal flights are offered by Pellham Airlines, E. 23rd St. Marina, N.Y.C.","","Cruising Areas","Cruisy Area","Fire Island","NY",1983,40.6476,-73.145947,"Cruising Areas","TRUE"
"95","1914","'Hitch-hikers'","betw. North & Bryant","Elmwood","Cruising Areas","Cruisy Area","Buffalo","NY",1981,42.902261,-78.877111,"Cruising Areas","TRUE"
"104","3167","'Hitch-hikers'","(on Elmwood betw. North & Bryant)","","Cruising Areas","Cruisy Area","Buffalo","NY",1982,42.902261,-78.877111,"Cruising Areas","TRUE"
"109","3444","'Hitch-hikers'","betw. North & Bryant","Elmwood","Cruising Areas","Cruisy Area","Buffalo","NY",1983,42.902261,-78.877111,"Cruising Areas","TRUE"
"126","3514","'Hitch-hikers'","on Elmwood betw. North & Bryant","","Cruising Areas","Cruisy Area","Buffalo","NY",1984,42.902261,-78.877111,"Cruising Areas","TRUE"
"174","1892","'Lollypop Heaven'","Rest Stop","Rte. 81 Northbound","Cruising Areas","Cruisy Area","Bellmore","NY",1981,40.668713,-73.527071,"Cruising Areas","TRUE"
"175","3148","'Lollypop Heaven'","(Rest Stop on Rte. 81 Northbound)","","Cruising Areas","Cruisy Area","Binghamton","NY",1982,42.098687,-75.917974,"Cruising Areas","TRUE"
"176","3423","'Lollypop Heaven'","Rest Stop","Rte. 81 Northbound","Cruising Areas","Cruisy Area","Binghamton","NY",1983,42.098687,-75.917974,"Cruising Areas","TRUE"
"177","3497","'Lollypop Heaven'","Rest Stop on Rte. 81 Northbound","","Cruising Areas","Cruisy Area","Binghamton","NY",1984,42.098687,-75.917974,"Cruising Areas","TRUE"
"178","3742","'Lollypop Heaven'","Rest Stop on Rt. 81N","","Cruising Areas","Cruisy Area","Binghamton","NY",1985,42.098687,-75.917974,"Cruising Areas","TRUE"
"179","3472","'Meat Rack'","anywhere and everypleace from the time you get on the ferry, but especially the W. end of tyhe boardwalk at The Pines, and the 'Meat Rack' & 'bushes' betw. Cherry Grove & The Pines. Seasonal flights are offered by Pellham Airlines, E. 23rd St. Marina, N.Y.C.","","Cruising Areas","Cruisy Area","Fire Island","NY",1983,40.6476,-73.145947,"Cruising Areas","TRUE"
