"","categories","Year","count"
"1","Accommodations",1965,8
"2","Accommodations",1966,7
"3","Accommodations",1968,10
"4","Accommodations",1969,14
"5","Accommodations",1970,14
"6","Accommodations",1971,13
"7","Accommodations",1972,14
"8","Accommodations",1973,12
"9","Accommodations",1974,13
"10","Accommodations",1975,13
"11","Accommodations",1976,10
"12","Accommodations",1977,16
"13","Accommodations",1978,14
"14","Accommodations",1979,20
"15","Accommodations",1980,14
"16","Accommodations",1981,15
"17","Accommodations",1982,15
"18","Accommodations",1983,16
"19","Accommodations",1984,18
"20","Accommodations",1985,20
"21","Accommodations",1986,18
"22","Accommodations",1987,20
"23","Accommodations",1988,20
"24","Accommodations",1989,20
"25","Accommodations",1990,6
"26","Accommodations",1991,7
"27","Accommodations",1992,9
"28","Accommodations",1993,9
"29","Accommodations",1994,15
"30","Accommodations",1995,15
"31","Accommodations",1996,27
"32","Bars",1965,39
"33","Bars",1966,45
"34","Bars",1968,51
"35","Bars",1969,74
"36","Bars",1970,88
"37","Bars",1971,97
"38","Bars",1972,112
"39","Bars",1973,121
"40","Bars",1974,147
"41","Bars",1975,151
"42","Bars",1976,123
"43","Bars",1977,193
"44","Bars",1978,178
"45","Bars",1979,191
"46","Bars",1980,186
"47","Bars",1981,192
"48","Bars",1982,187
"49","Bars",1983,200
"50","Bars",1984,174
"51","Bars",1985,174
"52","Bars",1986,169
"53","Bars",1987,156
"54","Bars",1988,159
"55","Bars",1989,154
"56","Bars",1990,107
"57","Bars",1991,121
"58","Bars",1992,113
"59","Bars",1993,105
"60","Bars",1994,115
"61","Bars",1995,110
"62","Bars",1996,101
"63","Bath Houses",1965,2
"64","Bath Houses",1966,4
"65","Bath Houses",1968,5
"66","Bath Houses",1969,5
"67","Bath Houses",1970,8
"68","Bath Houses",1971,6
"69","Bath Houses",1972,8
"70","Bath Houses",1973,7
"71","Bath Houses",1974,9
"72","Bath Houses",1975,13
"73","Bath Houses",1976,11
"74","Bath Houses",1977,13
"75","Bath Houses",1978,11
"76","Bath Houses",1979,16
"77","Bath Houses",1980,19
"78","Bath Houses",1981,19
"79","Bath Houses",1982,16
"80","Bath Houses",1983,21
"81","Bath Houses",1984,15
"82","Bath Houses",1985,11
"83","Bath Houses",1986,13
"84","Bath Houses",1987,11
"85","Bath Houses",1988,7
"86","Bath Houses",1989,5
"87","Businesses",1970,1
"88","Businesses",1971,1
"89","Businesses",1972,2
"90","Businesses",1973,8
"91","Businesses",1974,8
"92","Businesses",1975,13
"93","Businesses",1976,15
"94","Businesses",1977,28
"95","Businesses",1978,29
"96","Businesses",1979,48
"97","Businesses",1980,43
"98","Businesses",1981,47
"99","Businesses",1982,46
"100","Businesses",1983,50
"101","Businesses",1984,48
"102","Businesses",1985,52
"103","Businesses",1986,46
"104","Businesses",1987,50
"105","Businesses",1988,56
"106","Businesses",1989,46
"107","Businesses",1990,58
"108","Businesses",1991,62
"109","Businesses",1992,65
"110","Businesses",1993,62
"111","Businesses",1994,61
"112","Businesses",1995,63
"113","Businesses",1996,56
"114","Cruising Areas",1972,14
"115","Cruising Areas",1973,23
"116","Cruising Areas",1974,30
"117","Cruising Areas",1975,38
"118","Cruising Areas",1976,29
"119","Cruising Areas",1977,47
"120","Cruising Areas",1978,47
"121","Cruising Areas",1979,53
"122","Cruising Areas",1980,58
"123","Cruising Areas",1981,65
"124","Cruising Areas",1982,69
"125","Cruising Areas",1983,70
"126","Cruising Areas",1984,65
"127","Cruising Areas",1985,71
"128","Cruising Areas",1986,73
"129","Cruising Areas",1987,94
"130","Cruising Areas",1988,101
"131","Cruising Areas",1989,78
"132","Gyms",1981,2
"133","Gyms",1982,1
"134","Gyms",1983,3
"135","Gyms",1984,2
"136","Gyms",1985,2
"137","Gyms",1986,2
"138","Gyms",1987,2
"139","Gyms",1988,1
"140","Gyms",1989,2
"141","Gyms",1990,6
"142","Gyms",1991,5
"143","Gyms",1992,4
"144","Gyms",1993,6
"145","Gyms",1994,2
"146","Gyms",1995,4
"147","Gyms",1996,4
"148","Organizations",1976,1
"149","Organizations",1977,1
"150","Organizations",1978,3
"151","Organizations",1979,3
"152","Organizations",1980,2
"153","Organizations",1981,1
"154","Organizations",1982,1
"155","Organizations",1983,8
"156","Organizations",1984,11
"157","Organizations",1985,12
"158","Organizations",1986,9
"159","Organizations",1987,12
"160","Organizations",1988,12
"161","Organizations",1989,12
"162","Organizations",1990,3
"163","Organizations",1991,3
