"","Year","total.locations","total.risky","relative.risk"
"1",1965,55,NA,NA
"2",1966,62,NA,NA
"3",1968,75,NA,NA
"4",1969,111,1,0.900900900900901
"5",1970,135,2,1.48148148148148
"6",1971,142,2,1.40845070422535
"7",1972,178,1,0.561797752808989
"8",1973,213,1,0.469483568075117
"9",1974,269,1,0.371747211895911
"10",1975,287,3,1.04529616724739
"11",1976,235,5,2.12765957446809
"12",1977,357,11,3.0812324929972
"13",1978,334,10,2.9940119760479
"14",1979,398,12,3.01507537688442
"15",1980,394,13,3.2994923857868
"16",1981,410,8,1.95121951219512
"17",1982,407,16,3.93120393120393
"18",1983,429,13,3.03030303030303
"19",1984,388,15,3.8659793814433
"20",1985,387,11,2.84237726098191
"21",1986,369,13,3.5230352303523
"22",1987,409,10,2.44498777506112
"23",1988,429,11,2.56410256410256
"24",1989,374,16,4.27807486631016
"25",1990,354,10,2.82485875706215
"26",1991,366,10,2.73224043715847
"27",1992,373,12,3.2171581769437
"28",1993,366,27,7.37704918032787
"29",1994,351,8,2.27920227920228
"30",1995,362,7,1.93370165745856
"31",1996,376,7,1.86170212765957
