"","title","description","type","amenityfeatures","city","state","Year","cruisy","categories"
"1","'Vaseline Alley'","37th Rd. by foot or car","Cruising Areas","Cruisy Area,(AYOR)","Queens","NY",1981,"TRUE","Cruising Areas"
"2","'Vaseline Alley'","(37th Rd. by foot or car) (AYOR)","Cruising Areas","Cruisy Area,(AYOR)","Queens","NY",1982,"TRUE","Cruising Areas"
"3","'Vaseline Alley'","by foot or car","Cruising Areas","Cruisy Area,(AYOR)","Queens","NY",1983,"TRUE","Cruising Areas"
"4","'Vaseline Alley'","37th Rd. by foot or car","Cruising Areas","Cruisy Area,(AYOR)","Queens","NY",1984,"TRUE","Cruising Areas"
"5","'Vaseline Alley'","(37th Rd. by foot or car)","Cruising Areas","Cruisy Area,(AYOR)","Queens","NY",1985,"TRUE","Cruising Areas"
"6","Anvil","(Disco)('Back room') at 11th Ave.","Bars/Clubs","(D),(P),(RT),(AYOR)","Greenwich Village","NY",1981,"FALSE","Bars"
"7","Anvil","(Disco) (AYOR) ('Back Room') (Also called J's)","Bars/Clubs","(P),(D),(RT),(AYOR)","Greenwich Village","NY",1982,"FALSE","Bars"
"8","Anvil","(Disco)('Back room') at 11th Ave.","Bars/Clubs","(D),(RT),(AYOR),(P)","Greenwich Village & Chelsea","NY",1983,"FALSE","Bars"
"9","Anvil","(Disco)","Bars/Clubs","(P),(D),(RT),(AYOR),(F&S)","Greenwich Village","NY",1984,"FALSE","Bars"
"10","Anvil","(Disco) (at 11th Ave.)","Bars/Clubs","(P),(D),(RT),(AYOR),(F&S)","Greenwich Village","NY",1985,"FALSE","Bars"
"11","Capri Art Theatre","(AYOR - 'Fuzz')","Theatre,Cruising Areas","(M),(AYOR)","Buffalo","NY",1982,"TRUE","Businesses"
"12","Capri Art Theatre","(AYOR - 'Fuzz')","Theatre,Cruising Areas","(M),(AYOR)","Buffalo","NY",1983,"TRUE","Businesses"
"13","Central Park","Bethesda Fountain","Cruising Areas","Cruisy Area,(AYOR)","Uptown","NY",1981,"TRUE","Cruising Areas"
"14","Central Park","(Bethesda Fountain) (AYOR)","Cruising Areas","Cruisy Area,(AYOR)","Uptown","NY",1982,"TRUE","Cruising Areas"
"15","Central Park","(West side betw . 72nd & 96th Sts.) (Bethesda Fountain)","Cruising Areas","Cruisy Area,(AYOR)","Uptown","NY",1983,"TRUE","Cruising Areas"
"16","Central Park","(Bethesda Fountain)","Cruising Areas","Cruisy Area,(AYOR)","Uptown- N.Y.C.","NY",1985,"TRUE","Cruising Areas"
"17","Columbus Circle","'Fuzz' posing as hustlers","Cruising Areas","Cruisy Area,(AYOR)","Syracuse","NY",1981,"TRUE","Cruising Areas"
"18","Columbus Circle","(AYOR) ('Fuzz' posing as hustlers)","Cruising Areas","Cruisy Area,(AYOR)","Syracuse","NY",1982,"TRUE","Cruising Areas"
"19","Delaware Park","(Days)","Cruising Areas","Cruisy Area,(AYOR)","Buffalo","NY",1984,"TRUE","Cruising Areas"
"20","Durand-Eastman Park","(AYOR)","Cruising Areas","Cruisy Area,(AYOR)","Rochester","NY",1982,"TRUE","Cruising Areas"
"21","Durand-Eastman Park","(Note: All should be visited strictly AYOR)","Cruising Areas","Cruisy Area,(AYOR)","Rochester","NY",1983,"TRUE","Cruising Areas"
"22","Durand-Eastman Park","","Cruising Areas","Cruisy Area,(AYOR)","Rochester","NY",1984,"TRUE","Cruising Areas"
"23","Genesee Valley Park","(Note: All should be visited strictly AYOR)","Cruising Areas","Cruisy Area,(AYOR)","Rochester","NY",1983,"TRUE","Cruising Areas"
"24","Genesee Valley Park","","Cruising Areas","Cruisy Area,(AYOR)","Rochester","NY",1984,"TRUE","Cruising Areas"
"25","Genessee Valley Park","(AYOR)","Cruising Areas","Cruisy Area,(AYOR)","Rochester","NY",1982,"TRUE","Cruising Areas"
"26","Jefferson-Clinton Hotel Bar","(Downstairs T-Room is AYOR)","Bars/Clubs,Hotel","(M),(OC),(AYOR)","Syracuse","NY",1981,"FALSE","Accommodations"
"27","Jefferson-Clinton Hotel Bar","(Downstairs T-Room is AYOR)","Bars/Clubs,Hotel","(M),(OC),(AYOR)","Syracuse","NY",1982,"FALSE","Accommodations"
"28","La Salla Park","","Cruising Areas","Cruisy Area,(AYOR)","Buffalo","NY",1984,"TRUE","Cruising Areas"
"29","La Salle Park","(AYOR)","Cruising Areas","Cruisy Area,(AYOR)","Buffalo","NY",1982,"TRUE","Cruising Areas"
"30","La Salle Park","","Cruising Areas","Cruisy Area,(AYOR)","Buffalo","NY",1983,"TRUE","Cruising Areas"
"31","La Salle Park","","Cruising Areas","Cruisy Area,(AYOR)","Buffalo","NY",1985,"TRUE","Cruising Areas"
"32","Lark, State & Willet Sts.","nr. Washington Park","Cruising Areas","Cruisy Area,(AYOR)","Albany","NY",1984,"TRUE","Cruising Areas"
"33","Lark, State & Willet Sts.","(nr. Washington Park)","Cruising Areas","Cruisy Area,(AYOR)","Albany","NY",1985,"TRUE","Cruising Areas"
"34","Long Island Railroad Station & Bus Terminal","","Cruising Areas","Cruisy Area,(AYOR)","Hempstead","NY",1981,"TRUE","Cruising Areas"
"35","Long Island Railroad Station & Bus Terminal","(AYOR)","Cruising Areas","(AYOR),Cruisy Area","Hempstead","NY",1982,"TRUE","Cruising Areas"
"36","Long Island Railroad Station & Bus Terminal","","Cruising Areas","Cruisy Area,(AYOR)","Hempstead","NY",1983,"TRUE","Cruising Areas"
"37","Long Island Railroad Station & Bus Terminal","","Cruising Areas","Cruisy Area,(AYOR)","Hempstead","NY",1984,"TRUE","Cruising Areas"
"38","Long Island Railroad Station & Bus Terminal","","Cruising Areas","Cruisy Area,(AYOR)","Hempstead","NY",1985,"TRUE","Cruising Areas"
"39","Manhattan Square Park","(AYOR)","Cruising Areas","Cruisy Area,(AYOR)","Rochester","NY",1982,"TRUE","Cruising Areas"
"40","Manhattan Square Park","(Note: All should be visited strictly AYOR)","Cruising Areas","Cruisy Area,(AYOR)","Rochester","NY",1983,"TRUE","Cruising Areas"
"41","Manhattan Square Park","","Cruising Areas","Cruisy Area,(AYOR)","Rochester","NY",1984,"TRUE","Cruising Areas"
"42","Night Shift","(Theatre) (AYOR)","Theatre","(AYOR)","Midtown","NY",1982,"FALSE","Businesses"
"43","Subway Station","","Cruising Areas","Cruisy Area,(AYOR)","Midtown","NY",1985,"TRUE","Cruising Areas"
"44","Subway Stations","","Cruising Areas","Cruisy Area,(AYOR)","Midtown","NY",1981,"TRUE","Cruising Areas"
"45","Subway Stations","(AYOR)","Cruising Areas","(AYOR),Cruisy Area","Midtown","NY",1982,"TRUE","Cruising Areas"
"46","Subway Stations","","Cruising Areas","Cruisy Area,(AYOR)","Midtown","NY",1983,"TRUE","Cruising Areas"
"47","Subway Stations","","Cruising Areas","Cruisy Area,(AYOR)","Midtown","NY",1984,"TRUE","Cruising Areas"
"48","Syracuse U.","(Maxwell Hall - downstairs T-Room) (AYOR)","Cruising Areas","Cruisy Area,(AYOR)","Syracuse","NY",1982,"TRUE","Cruising Areas"
"49","Syracuse U.","(downstairs T-Room) (Maxwell Hall)","Cruising Areas","Cruisy Area,(AYOR)","Syracuse","NY",1983,"TRUE","Cruising Areas"
"50","Syracuse U.","Maxwell Hall - downstairs T-Room","Cruising Areas","Cruisy Area,(AYOR)","Syracuse","NY",1984,"TRUE","Cruising Areas"
