"","type","count","categories"
"1","",109,"NA"
"2","Accommodations",2912,"Accommodations"
"3","Accommodations,Bars",1,"Accommodations"
"4","Accommodations,Bars/Clubs",1,"Accommodations"
"5","Accommodations,Info Lines & Services",1,"Accommodations"
"6","Accommodations,Travel Agency or Tour Operators",1,"Accommodations"
"7","Accommodations",375,"NA"
"8","Bars",9278,"Bars"
"9","Bars,Cruising Areas",103,"Bars"
"10","Bars,Cruisy Areas",38,"Bars"
"11","Bars,Restaurants & Cafes",1,"Bars"
"12","Bars/Clubs",27365,"Bars"
"13","Bars/Clubs,Bathhouses",37,"Bars"
"14","Bars/Clubs,Bathhouses,Hotel",1,"Accommodations"
"15","Bars/Clubs,Baths",7,"Bars"
"16","Bars/Clubs,Baths,Hotel,Restaurant",1,"Accommodations"
"17","Bars/Clubs,Book Store",27,"Bars"
"18","Bars/Clubs,Book Store,Cruising Areas",1,"Bars"
"19","Bars/Clubs,Book Store,Erotic Shop",3,"Bars"
"20","Bars/Clubs,Business",7,"Bars"
"21","Bars/Clubs,Business,Cruising Areas",1,"Bars"
"22","Bars/Clubs,Business,Erotic Shop",1,"Bars"
"23","Bars/Clubs,Cruising Areas",1292,"Bars"
"24","Bars/Clubs,Cruising Areas,Book Store",2,"Bars"
"25","Bars/Clubs,Cruising Areas,Hotel",18,"Accommodations"
"26","Bars/Clubs,Cruising Areas,Restaurant",12,"Bars"
"27","Bars/Clubs,Cruising Areas,Theatre",2,"Bars"
"28","Bars/Clubs,Erotic Shop",4,"Bars"
"29","Bars/Clubs,Gym",1,"Bars"
"30","Bars/Clubs,Hotel",696,"Accommodations"
"31","Bars/Clubs,Hotel,Bathhouses",1,"Accommodations"
"32","Bars/Clubs,Hotel,Cruising Areas",7,"Accommodations"
"33","Bars/Clubs,Hotel,Restaurant",19,"Accommodations"
"34","Bars/Clubs,Hotels,Restaurant",5,"Accommodations"
"35","Bars/Clubs,Organizations",1,"Bars"
"36","Bars/Clubs,Restaurant",700,"Bars"
"37","Bars/Clubs,Restaurant,Bathhouses",2,"Bars"
"38","Bars/Clubs,Restaurant,Baths",1,"Bars"
"39","Bars/Clubs,Restaurant,Book Store",7,"Bars"
