"","ID","title","description","streetaddress","city","state","amenityfeatures","type","unclear_address","Year","full.address","latitude","longitude"
"1","OH1058","Market Cafe","","1339 E. Market","Akron","OH","(G)","Restaurant","Google Verified Location",1970,"1339 E. Market, Akron, OH",NA,NA
"2","OH1059","Mother's","(after hours coffee hours may be opening upstairs)","53 E. Mill St.","Akron","OH","(YC),(*),(C)","Bars/Clubs","Google Verified Location",1970,"53 E. Mill St., Akron, OH",41.0823555333333,-81.5168692666667
"3","OH1060","Moulin Rouge","","1 N. Main St.","Akron","OH","(RT)","Bars/Clubs","Google Verified Location",1970,"1 N. Main St., Akron, OH",NA,NA
"4","OH1061","Robin Hood Cafe","","837 W. Exchange","Akron","OH","(*)","Restaurant","Google Verified Location",1970,"837 W. Exchange, Akron, OH",41.0915683157895,-81.5449544736842
"5","OH1102","Beefeater","","53 E. Mill St.","Akron","OH","(*)","Bars/Clubs","Google Verified Location",1969,"53 E. Mill St., Akron, OH",41.0823555333333,-81.5168692666667
"6","OH1103","Market Cafe","","1339 E. Market","Akron","OH","(G)","Restaurant","Google Verified Location",1969,"1339 E. Market, Akron, OH",NA,NA
"7","OH1104","Moulin Rouge","","1 N. Main St.","Akron","OH","(RT)","Bars/Clubs","Google Verified Location",1969,"1 N. Main St., Akron, OH",NA,NA
"8","OH1105","Robin Hood Cafe","","837 W. Exchange","Akron","OH","(*)","Restaurant","Google Verified Location",1969,"837 W. Exchange, Akron, OH",41.0915683157895,-81.5449544736842
"9","OH1140","Cadillac","","46 S Howard","Akron","OH","","Bars/Clubs","Google Verified Location",1968,"46 S Howard, Akron, OH",NA,NA
"10","OH1141","Lincoln","","28 S Howard","Akron","OH","(G),(D)","Bars/Clubs","Google Verified Location",1968,"28 S Howard, Akron, OH",NA,NA
"11","OH1142","Rene's","","Marne Hotel","Akron","OH","(*)","Hotel,Bars/Clubs","Verified Location",1968,"Marne Hotel, Akron, OH",NA,NA
"12","OH1143","Robin Hood","","83 Exchange ","Akron","OH","(*)","Bars/Clubs","Google Verified Location",1968,"83 Exchange , Akron, OH",41.0757210408163,-81.5198345102041
"13","OH1172","Cadillac","","46 S Howard","Akron","OH","","Bars/Clubs","Google Verified Location",1966,"46 S Howard, Akron, OH",NA,NA
"14","OH1173","Lincoln","","28 S Howard","Akron","OH","(G),(D)","Bars/Clubs","Google Verified Location",1966,"28 S Howard, Akron, OH",NA,NA
"15","OH1174","Rene's","","Marne Hotel","Akron","OH","(*)","Bars/Clubs,Hotel","Verified Location",1966,"Marne Hotel, Akron, OH",NA,NA
"16","OH1175","Robin Hood","","83 Exchange ","Akron","OH","(*)","Bars/Clubs","Google Verified Location",1966,"83 Exchange , Akron, OH",41.0757210408163,-81.5198345102041
"17","OH1202","Cadillac","","46 S Howard","Akron","OH","","Bars/Clubs","Google Verified Location",1965,"46 S Howard, Akron, OH",NA,NA
"18","OH1203","Lincoln","","28 S Howard","Akron","OH","(G),(D)","Bars/Clubs","Google Verified Location",1965,"28 S Howard, Akron, OH",NA,NA
"19","OH1204","Rene's","Marne Hotel","Marne Hotel","Akron","OH","(*)","Hotel,Bars/Clubs","Verified Location",1965,"Marne Hotel, Akron, OH",NA,NA
