"","ID","title","description","streetaddress","city","state","amenityfeatures","type","unclear_address","Year","cruisy"
"1","3809","Clyde's ","(Patio) (Picking up) ","108 Central Ave.","Albany","NY","(E)","Bars/Clubs",NA,1986,"FALSE"
"2","3810","Dignity ",NA,"P.O. Box 11204, Loudonville 12211","Albany","NY",NA,"Religious Institutions","checked",1986,"FALSE"
"3","3811","Eightballs Lounge","(Disco) (Wed. & WE*) ","369 Central Ave.","Albany","NY","(YC),(D),(WE),(*)","Bars/Clubs","checked",1986,"FALSE"
"4","3812","Gay Community Center ","(Snacks & C) (518) 462-6138 ","332 Hudson Ave. ","Albany","NY","(C)","Community Center/ Support Group",NA,1986,"FALSE"
"5","3813","Last Straw ","(No booze) (AH-WE*) ","92 Central Ave.","Albany","NY","(PT),(AH),(WE),(*)","Bars/Clubs",NA,1986,"FALSE"
"6","3814","Le Most ","(Cards & novelties) ","189 Lark St. ","Albany","NY",NA,"Book Store",NA,1986,"FALSE"
"7","3815","Playhouse ","(Cruisy) (Some W, SM) (Disco) (WE*) ","519 Central Ave.","Albany","NY","(W),(SM),(OC),(D),(WE),(*)","Bars/Clubs,Cruising Areas",NA,1986,"TRUE"
"8","3816","Secrets ","(Upstairs from Waterworks) ","76 Central Ave.","Albany","NY","(L),(D),(*)","Bars/Clubs",NA,1986,"FALSE"
"9","3817","State Street Pubs",NA,NA,"Albany","NY",NA,"Bars/Clubs","checked",1986,"FALSE"
"10","3818","Waterworks Pub","(Some W, YC) (WE*) ","76 Central Ave.","Albany","NY","(W),(YC),(PT),(WE),(*)","Bars/Clubs",NA,1986,"FALSE"
"11","3819","Lark St.","nr. Washington Park",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986,"TRUE"
"12","3820","State St.","nr. Washington Park",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986,"TRUE"
"13","3821","Willet St. ","nr. Washington Park",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986,"TRUE"
"14","3822","S.U.N.Y. Library","T-Room",NA,"Albany","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"15","3823","Trailways & Greyhound Bus Depots",NA,NA,"Albany","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE"
"16","3824","Washington Park ","by lake & tennis courts ",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986,"TRUE"
"17","3825","Club Buffalo Baths",NA,"44 Alameda","Amherst","NY",NA,"Bathhouses",NA,1986,"FALSE"
