"","ID","title","description","streetaddress","city","state","amenityfeatures","type","unclear_address","Year","cruisy","full.address","latitude","longitude"
"1","3809","Clyde's ","(Patio) (Picking up) ","108 Central Ave.","Albany","NY","(E)","Bars/Clubs",NA,1986,"FALSE","108 Central Ave., Albany, NY",42.6598217,-73.7673066
"2","3810","Dignity ",NA,"P.O. Box 11204, Loudonville 12211","Albany","NY",NA,"Religious Institutions","checked",1986,"FALSE","P.O. Box 11204, Loudonville 12211, Albany, NY",NA,NA
"3","3811","Eightballs Lounge","(Disco) (Wed. & WE*) ","369 Central Ave.","Albany","NY","(YC),(D),(WE),(*)","Bars/Clubs","checked",1986,"FALSE","369 Central Ave., Albany, NY",42.6665232,-73.7737021
"4","3812","Gay Community Center ","(Snacks & C) (518) 462-6138 ","332 Hudson Ave. ","Albany","NY","(C)","Community Center/ Support Group",NA,1986,"FALSE","332 Hudson Ave. , Albany, NY",42.6532764,-73.7656004961543
"5","3813","Last Straw ","(No booze) (AH-WE*) ","92 Central Ave.","Albany","NY","(PT),(AH),(WE),(*)","Bars/Clubs",NA,1986,"FALSE","92 Central Ave., Albany, NY",42.659423,-73.7667033
"6","3814","Le Most ","(Cards & novelties) ","189 Lark St. ","Albany","NY",NA,"Book Store",NA,1986,"FALSE","189 Lark St. , Albany, NY",42.6565329,-73.7637519
"7","3815","Playhouse ","(Cruisy) (Some W, SM) (Disco) (WE*) ","519 Central Ave.","Albany","NY","(W),(SM),(OC),(D),(WE),(*)","Bars/Clubs,Cruising Areas",NA,1986,"TRUE","519 Central Ave., Albany, NY",42.670068,-73.7782307
"8","3816","Secrets ","(Upstairs from Waterworks) ","76 Central Ave.","Albany","NY","(L),(D),(*)","Bars/Clubs",NA,1986,"FALSE","76 Central Ave., Albany, NY",42.65905125,-73.7664894205224
"9","3817","State Street Pubs",NA,NA,"Albany","NY",NA,"Bars/Clubs","checked",1986,"FALSE","NA, Albany, NY",42.6511674,-73.754968
"10","3818","Waterworks Pub","(Some W, YC) (WE*) ","76 Central Ave.","Albany","NY","(W),(YC),(PT),(WE),(*)","Bars/Clubs",NA,1986,"FALSE","76 Central Ave., Albany, NY",42.65905125,-73.7664894205224
"11","3819","Lark St.","nr. Washington Park",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986,"TRUE","NA, Albany, NY",42.6511674,-73.754968
"12","3820","State St.","nr. Washington Park",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986,"TRUE","NA, Albany, NY",42.6511674,-73.754968
"13","3821","Willet St. ","nr. Washington Park",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986,"TRUE","NA, Albany, NY",42.6511674,-73.754968
"14","3822","S.U.N.Y. Library","T-Room",NA,"Albany","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE","NA, Albany, NY",42.6511674,-73.754968
"15","3823","Trailways & Greyhound Bus Depots",NA,NA,"Albany","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE","NA, Albany, NY",42.6511674,-73.754968
"16","3824","Washington Park ","by lake & tennis courts ",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986,"TRUE","NA, Albany, NY",42.6511674,-73.754968
"17","3825","Club Buffalo Baths",NA,"44 Alameda","Amherst","NY",NA,"Bathhouses",NA,1986,"FALSE","44 Alameda, Amherst, NY",NA,NA
"18","3826","M&M Club ",NA,"608 Sunrise Hwy. ","Babylon","NY","(L)","Bars/Clubs",NA,1986,"FALSE","608 Sunrise Hwy. , Babylon, NY",40.71305435,-73.3489192982992
"19","3827","Parlee Entertainment Magazine ","(Publication) ","P.O. Box 430, Babylon 11702","Babylon","NY",NA,"Publication","checked",1986,"FALSE","P.O. Box 430, Babylon 11702, Babylon, NY",NA,NA
"20","3828","Ruthie's Place ","(Some M, L) ","24 Ackerson Blvd. ","Bay Shore","NY","(M),(L),(PT)","Bars/Clubs",NA,1986,"FALSE","24 Ackerson Blvd. , Bay Shore, NY",40.735941,-73.274917
"21","3829","Regent Theatre","public parking lot",NA,"Bay Shore","NY","Cruisy Area","Cruising Areas,Theatre","checked",1986,"TRUE","NA, Bay Shore, NY",40.7250986,-73.2453946
"22","3830","Shore House","Just over the Bayville Bridge",NA,"Bayville","NY","(OC)","Bars/Clubs","checked",1986,"FALSE","NA, Bayville, NY",40.9106541,-73.5620689
"23","3831","Pal Joey's ","(Cruisy) ","2475 Jerusalem Ave. ","Bellmore","NY","(YC),(PT),(*)","Bars/Clubs,Cruising Areas",NA,1986,"TRUE","2475 Jerusalem Ave. , Bellmore, NY",40.6910496807778,-73.5433328535534
"24","3832","Esperit ","(Sun. afternoons) Ramada Inn,","65 Front St.","Binghamton","NY","(M)","Bars/Clubs",NA,1986,"FALSE","65 Front St., Binghamton, NY",42.0967215,-75.9185013
"25","3833","Kay's Books",NA,"81 State St. ","Binghamton","NY",NA,"Book Store",NA,1986,"FALSE","81 State St. , Binghamton, NY",42.0978741,-75.9126601
"26","3834","Kennedy's Corner ",NA,"161 Court St.","Binghamton","NY","(M),(R)","Restaurant",NA,1986,"FALSE","161 Court St., Binghamton, NY",42.0998381,-75.90775
"27","3835","Le Bar","Holiday Inn","8 Hawley St.","Binghamton","NY","(M),(WE)","Bars/Clubs",NA,1986,"FALSE","8 Hawley St., Binghamton, NY",42.09695875,-75.9151758330521
"28","3836","Lenny's ","(Some YC, L) (Disco) ","201 State St. ","Binghamton","NY","(*),(YC),(L),(D)","Bars/Clubs",NA,1986,"FALSE","201 State St. , Binghamton, NY",42.10190265,-75.9118101055215
"29","3837","Mr. Bill's Adult Books",NA,"140 Washington St. ","Binghamton","NY","(M)","Book Store,Erotic Shop",NA,1986,"FALSE","140 Washington St. , Binghamton, NY",42.098191,-75.9132188
"30","3838","Squiggy's ","(Some L) ","34 Chenango St.","Binghamton","NY","(L)","Bars/Clubs",NA,1986,"FALSE","34 Chenango St., Binghamton, NY",42.0996847,-75.9102633
"31","3839","Wizards ","(Disco) (Some L) (Snacks) ","115 Montgomery St. ","Binghamton","NY","(D),(L),(PT),(V),(*)","Bars/Clubs,Theatre",NA,1986,"FALSE","115 Montgomery St. , Binghamton, NY",42.1142232,-75.8954167
"32","3840","Cole Park",NA,NA,"Binghamton","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE","NA, Binghamton, NY",42.0987125,-75.9125262
"33","3841","Greyhound Depot ",NA,NA,"Binghamton","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE","NA, Binghamton, NY",42.0987125,-75.9125262
"34","3842","'Lollypop Heaven' ","Rest Stop on Rt. 81N ",NA,"Binghamton","NY","Cruisy Area","Cruising Areas","checked",1986,"TRUE","NA, Binghamton, NY",42.0987125,-75.9125262
"35","3843","Allen ",NA,"16 Allen ","Buffalo","NY","(R),(YC)","Restaurant",NA,1986,"FALSE","16 Allen , Buffalo, NY",42.8991795,-78.8706975
"36","3844","City Lights ","(Disco) (Cl. Mon. & Tue.) ","727 Main St. ","Buffalo","NY","(*),(YC),(D)","Bars/Clubs",NA,1986,"FALSE","727 Main St. , Buffalo, NY",42.8935612,-78.8714202
"37","3845","Crossroads ","(Macho) (Disco) ","563 Delaware ","Buffalo","NY","(*),(YC),(D)","Bars/Clubs",NA,1986,"FALSE","563 Delaware , Buffalo, NY",42.8996662946579,-78.8737371679188
