"","type","count","categories"
"1","Accommodations",222,"Accommodations"
"2","Bars",782,"Bars"
"3","Bars,Cruising Areas",21,"Bars"
"4","Bars,Cruisy Areas",4,"Bars"
"5","Bars/Clubs",3418,"Bars"
"6","Bars/Clubs,Bathhouses",6,"Bars"
"7","Bars/Clubs,Baths",4,"Bars"
"8","Bars/Clubs,Book Store",2,"Bars"
"9","Bars/Clubs,Business",1,"Bars"
"10","Bars/Clubs,Cruising Areas",122,"Bars"
"11","Bars/Clubs,Cruising Areas,Restaurant",2,"Bars"
"12","Bars/Clubs,Hotel",98,"Accommodations"
"13","Bars/Clubs,Hotel,Cruising Areas",1,"Accommodations"
"14","Bars/Clubs,Hotel,Restaurant",2,"Accommodations"
"15","Bars/Clubs,Restaurant",71,"Bars"
"16","Bars/Clubs,Restaurant,Cruising Areas",1,"Bars"
"17","Bars/Clubs,Restaurant,Hotel",1,"Accommodations"
"18","Bars/Clubs,Theatre",11,"Bars"
"19","Bars/Clubs,Theatre,Baths",1,"Bars"
"20","Bars/Clubs,Travel Agency",2,"Bars"
"21","Bathhouses",130,"Bath Houses"
"22","Bathhouses,Bars/Clubs,Hotel",1,"Accommodations"
"23","Bathhouses,Hotel",9,"Accommodations"
"24","Baths",137,"Bath Houses"
"25","Baths,Bars/Clubs",5,"Bars"
"26","Baths,Hotel",8,"Accommodations"
"27","Baths,Theatre,Bars/Clubs",1,"Bars"
"28","Book Store",356,"Businesses"
"29","Book Store,Business",7,"Businesses"
"30","Book Store,Business,Cruising Areas",1,"Businesses"
"31","Book Store,Cruising Areas",6,"Businesses"
"32","Book Store,Erotic Shop",32,"Businesses"
"33","Book Store,Erotic Shop,Cruising Areas",1,"Businesses"
"34","Book Stores or Retail Shops",18,"Businesses"
"35","Book Stores/Retail Shops",14,"Businesses"
"36","Bookstore/Retail Shops",18,"Businesses"
"37","Bookstores/Retail Shops",75,"Businesses"
"38","Business",69,"Businesses"
"39","Business,Book Store",10,"Businesses"
"40","Business,Erotic Shop",1,"Businesses"
"41","Business,Erotic Shop,Book Store",1,"Businesses"
"42","Business,Organizations",1,"Businesses"
"43","Community Center/ Support Group",2,"Organizations"
"44","Community Center/Support Group",13,"Organizations"
"45","Cruising Areas",1391,"Cruising Areas"
"46","Cruising Areas,Bars/Clubs",71,"Bars"
"47","Cruising Areas,Bars/Clubs,Restaurant",5,"Bars"
"48","Cruising Areas,Book Store",7,"Businesses"
"49","Cruising Areas,Book Store,Theatre",1,"Businesses"
"50","Cruising Areas,Erotic Shop",2,"Businesses"
"51","Cruising Areas,Erotic Shop,Book Store",1,"Businesses"
"52","Cruising Areas,Hotel",16,"Accommodations"
"53","Cruising Areas,Organizations",3,"Cruising Areas"
"54","Cruising Areas,Religious Institution",2,"Religious Institutions"
"55","Cruising Areas,Restaurant",11,"Restaurants"
"56","Cruising Areas,Theatre",12,"Businesses"
"57","Cruising Areas,Travel Service",1,"Businesses"
"58","Cruisy Areas",46,"Cruising Areas"
"59","Erotic Shop",47,"Businesses"
"60","Erotic Shop,Book Store",11,"Businesses"
"61","Erotic Shop,Theatre,Cruising Areas",2,"Businesses"
"62","Erotica",173,"Businesses"
"63","Erotica/Adult Groups",33,"Businesses"
"64","Escort Service",1,"Businesses"
"65","Gym",19,"Gyms"
"66","Gym,Bathhouses",1,"Gyms"
"67","Gym/Health Clubs",6,"Gyms"
"68","Gyms & Health Clubs",10,"Gyms"
"69","Gyms/Health Clubs",17,"Gyms"
"70","Hotel",205,"Accommodations"
"71","Hotel,Bars/Clubs",10,"Accommodations"
"72","Hotel,Bars/Clubs,Restaurant",4,"Accommodations"
"73","Hotel,Bathhouses",1,"Accommodations"
"74","Hotel,Organizations",1,"Accommodations"
"75","Hotel,Religious Institution,Bars/Clubs,Restaurant",2,"Religious Institutions"
"76","Hotel,Restaurant",13,"Accommodations"
"77","Hotel,Restaurant,Bars/Clubs",5,"Accommodations"
"78","Hotel,Travel Agency",2,"Accommodations"
"79","Hotel,Travel Service",2,"Accommodations"
"80","Hotline",26,"Organizations"
"81","Hotlines",13,"Organizations"
"82","Info Lines & Services",339,"Businesses"
"83","Men's Clubs",23,"Organizations"
"84","Men's Clubs,Cruising Areas",1,"Organizations"
"85","Men's Services",12,"Businesses"
"86","Organizations",19,"NA"
"87","Organizations,Bars/Clubs",2,"Bars"
"88","Organizations,Hotel",1,"Accommodations"
"89","Publication",35,"Organizations"
"90","Publications",72,"Organizations"
"91","Publications,Organization",2,"Organizations"
"92","Religious Institutions",171,"Religious Institutions"
"93","Restaurant",1118,"Restaurants"
"94","Restaurant,Bars/Clubs",82,"Bars"
"95","Restaurant,Bars/Clubs,Cruising Areas",2,"Bars"
"96","Restaurant,Bars/Clubs,Hotel",3,"Accommodations"
"97","Restaurant,Cruising Areas",8,"Restaurants"
"98","Restaurant,Hotel",9,"Accommodations"
"99","Restaurant,Hotel,Bars/Clubs",2,"Accommodations"
"100","Restaurants & Cafes",175,"Restaurants"
"101","Theatre",119,"Businesses"
"102","Theatre,Bars/Clubs",2,"Bars"
"103","Theatre,Book Store",3,"Businesses"
"104","Theatre,Cruising Areas",12,"Businesses"
"105","Theatre,Erotic Shop,Cruising Areas",1,"Businesses"
"106","Travel & Tour Operators",5,"Businesses"
"107","Travel Agency",18,"Businesses"
"108","Travel Agency or Tour Operators",10,"Businesses"
"109","Travel Service",16,"Businesses"
"110","Travel/Tour Operators",58,"Businesses"
